,vin,stockNum,firstSeen,lastSeen,msrp,askPrice,mileage,isNew,color,interiorColor,brandName,modelName,dealerID,vf_ABS,vf_ActiveSafetySysNote,vf_AdaptiveCruiseControl,vf_AdaptiveDrivingBeam,vf_AdaptiveHeadlights,vf_AdditionalErrorText,vf_AirBagLocCurtain,vf_AirBagLocFront,vf_AirBagLocKnee,vf_AirBagLocSeatCushion,vf_AirBagLocSide,vf_AutoReverseSystem,vf_AutomaticPedestrianAlertingSound,vf_AxleConfiguration,vf_Axles,vf_BasePrice,vf_BatteryA,vf_BatteryA_to,vf_BatteryCells,vf_BatteryInfo,vf_BatteryKWh,vf_BatteryKWh_to,vf_BatteryModules,vf_BatteryPacks,vf_BatteryType,vf_BatteryV,vf_BatteryV_to,vf_BedLengthIN,vf_BedType,vf_BlindSpotMon,vf_BodyCabType,vf_BodyClass,vf_BrakeSystemDesc,vf_BrakeSystemType,vf_BusFloorConfigType,vf_BusLength,vf_BusType,vf_CAN_AACN,vf_CIB,vf_CashForClunkers,vf_ChargerLevel,vf_ChargerPowerKW,vf_CoolingType,vf_CurbWeightLB,vf_CustomMotorcycleType,vf_DaytimeRunningLight,vf_DestinationMarket,vf_DisplacementCC,vf_DisplacementCI,vf_DisplacementL,vf_Doors,vf_DriveType,vf_DriverAssist,vf_DynamicBrakeSupport,vf_EDR,vf_ESC,vf_EVDriveUnit,vf_ElectrificationLevel,vf_EngineConfiguration,vf_EngineCycles,vf_EngineCylinders,vf_EngineHP,vf_EngineHP_to,vf_EngineKW,vf_EngineManufacturer,vf_EngineModel,vf_EntertainmentSystem,vf_ForwardCollisionWarning,vf_FuelInjectionType,vf_FuelTypePrimary,vf_FuelTypeSecondary,vf_GCWR,vf_GCWR_to,vf_GVWR,vf_GVWR_to,vf_KeylessIgnition,vf_LaneDepartureWarning,vf_LaneKeepSystem,vf_LowerBeamHeadlampLightSource,vf_Make,vf_MakeID,vf_Manufacturer,vf_ManufacturerId,vf_Model,vf_ModelID,vf_ModelYear,vf_MotorcycleChassisType,vf_MotorcycleSuspensionType,vf_NCSABodyType,vf_NCSAMake,vf_NCSAMapExcApprovedBy,vf_NCSAMapExcApprovedOn,vf_NCSAMappingException,vf_NCSAModel,vf_NCSANote,vf_Note,vf_OtherBusInfo,vf_OtherEngineInfo,vf_OtherMotorcycleInfo,vf_OtherRestraintSystemInfo,vf_OtherTrailerInfo,vf_ParkAssist,vf_PedestrianAutomaticEmergencyBraking,vf_PlantCity,vf_PlantCompanyName,vf_PlantCountry,vf_PlantState,vf_PossibleValues,vf_Pretensioner,vf_RearCrossTrafficAlert,vf_RearVisibilitySystem,vf_SAEAutomationLevel,vf_SAEAutomationLevel_to,vf_SeatBeltsAll,vf_SeatRows,vf_Seats,vf_SemiautomaticHeadlampBeamSwitching,vf_Series,vf_Series2,vf_SteeringLocation,vf_SuggestedVIN,vf_TPMS,vf_TopSpeedMPH,vf_TrackWidth,vf_TractionControl,vf_TrailerBodyType,vf_TrailerLength,vf_TrailerType,vf_TransmissionSpeeds,vf_TransmissionStyle,vf_Trim,vf_Trim2,vf_Turbo,vf_VIN,vf_ValveTrainDesign,vf_VehicleType,vf_WheelBaseLong,vf_WheelBaseShort,vf_WheelBaseType,vf_WheelSizeFront,vf_WheelSizeRear,vf_Wheels,vf_Windows
5396716,552854d96b4dc08013b4840238a60f84fb566a79f68367c0b5d34ea4a2f720a2,,2020-04-28,2020-05-31,19999,18999,0,False,,,GMC,Sierra,13423,,,,,,,All Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Pickup,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5300.0,323.42584370208,5.3,,4WD/4-Wheel Drive/4x4,,,,,,,,,8.0,,,,,LC9 - Flex Fuel (GAS/ALC) Aluminium Cylinder Deactivation,,,Sequential Fuel Injection (SFI),Gasoline,Ethanol (E85),,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,,,,,GMC,472,GENERAL MOTORS LLC,984.0,Sierra,1857.0,2012.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,SILAO,GMNA,MEXICO,GUANAJUATO ,,,,,,,Manual,,,,1500,,,,,,,,Not Applicable,,Not Applicable,,,SLT,,,552854d96b4dc08013b4840238a60f84fb566a79f68367c0b5d34ea4a2f720a2,,TRUCK ,,,,,,,
5672543,621e90cfdc7c679f73f00d55753a85c7fb759ca2c8d4b4b880b4a3a5fe0a0cd7,FUJ32092,2018-04-03,2018-06-06,20750,19000,49329,False,Ruby Red Metallic Tinted Clearcoat,Ebony,LINCOLN,MKC,3136,,,,,,,,1st Row (Driver & Passenger),Driver Seat Only,,1st & 2nd Rows,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2000.0,122.04748818946,2.0,4.0,4x2,,,,,,,In-Line,,4.0,240.0,,178.968,Lincoln,,,,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,LINCOLN,464,FORD MOTOR COMPANY USA,976.0,MKC,3599.0,2015.0,Not Applicable,Not Applicable,,,,,,,,,,Ecoboost,,,,,,LOUISVILLE,,UNITED STATES (USA),KENTUCKY,,,,,,,Manual,,,,LS,,,,Direct,,,,Not Applicable,,Not Applicable,,,,,,621e90cfdc7c679f73f00d55753a85c7fb759ca2c8d4b4b880b4a3a5fe0a0cd7,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
3387815,350a91d9e7d4469d4d034f837b0b24b8504a55840dbcbd1262fffb95db4c573f,A1038,2019-09-25,2019-10-01,0,0,0,True,Black,,MERCEDES-BENZ,C-Class,15062,,,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,Water,,Not Applicable,,,2000.0,122.0474881894,2.0,4.0,,,,,,,,In-Line,4.0,4.0,255.0,,190.1535,Daimler,M264,,,,Gasoline,,,,,,,,,,MERCEDES-BENZ,449,MERCEDES-BENZ CARS,1042.0,C-Class,2085.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,DIRECT FUEL INJECTION L-9 TC,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,,EAST LONDON,,SOUTH AFRICA,,,Yes,,,,,Manual,,,,C300-4M,,,,Direct,,,,Not Applicable,,Not Applicable,7.0,Automatic,,,Yes,350a91d9e7d4469d4d034f837b0b24b8504a55840dbcbd1262fffb95db4c573f,Dual Overhead Cam (DOHC),PASSENGER CAR,,,,,,,
4088319,3ef38b397641bbf1fb3250f2ad38b04ab918652f6631dd68f185c33701457637,,2019-12-30,2020-01-18,23958,22897,0,False,,,JEEP,Grand Cherokee,39863,,,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3600.0,219.68547874103,3.6,4.0,4WD/4-Wheel Drive/4x4,,,,,,,,,6.0,,,,,,,,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,,,,,JEEP,483,FCA US LLC,994.0,Grand Cherokee,1949.0,2015.0,Not Applicable,Not Applicable,,,,,,,,,,Sales Code: ERB,,Active Seat Belt,,,,DETROIT,Jefferson North Assembly,UNITED STATES (USA),MICHIGAN,,,,,,,Manual,,,,,,Left Hand Drive (LHD),,Direct,,,,Not Applicable,,Not Applicable,,,Limited,,No,3ef38b397641bbf1fb3250f2ad38b04ab918652f6631dd68f185c33701457637,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
586264,1bb13fa2ed59692c48b819da38b7b6038e12cd15a9ed4544431ea4678953359f,210465,2018-08-17,2018-11-08,14000,12900,0,False,Blue Reflex Mica,Black,MAZDA,Mazda3,30197,,,,,,,1st & 2nd Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2000.0,122.04748818946,2.0,4.0,,,,,,,,In-Line,4.0,4.0,,,,Mazda,PE,,,,Gasoline,,,,,,,,,,MAZDA,473,MAZDA MOTOR CORPORATION,1041.0,Mazda3,2074.0,2015.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,HOFU,Mazda Motor Corporation,JAPAN,YAMAGUCHI,,,,,,,Manual,,,,,,,,Indirect,,,,Not Applicable,,Not Applicable,,,SV/Base,,,1bb13fa2ed59692c48b819da38b7b6038e12cd15a9ed4544431ea4678953359f,Dual Overhead Cam (DOHC),PASSENGER CAR,,,,,,,
3592189,cbd8e481b3b35593f972e7f12f4328d227a19a827821443ed1d710e125cd4634,DD10788,2019-04-19,2019-07-03,27495,26495,27010,False,Fathom Blue Pearl,Graystone,ACURA,RDX,15064,,,,,,,1st & 2nd Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3474.057568,212.0,3.474057568,5.0,4WD/4-Wheel Drive/4x4,,,,,,,V-Shaped,,6.0,279.0,,208.0503,,J35Z2,,,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,ACURA,475,HONDA OF AMERICA MFG. INC.,988.0,RDX,1871.0,2016.0,Not Applicable,Not Applicable,,,,,,,,,,,,seat belts: front rear rear center,,,,EAST LIBERTY,,UNITED STATES (USA),OHIO,,,,,,,Manual,,,,Tech Package/Tech with Acura Watch Plus Package,,,,Direct,,,,Not Applicable,,Not Applicable,6.0,Automatic,,,,cbd8e481b3b35593f972e7f12f4328d227a19a827821443ed1d710e125cd4634,Single Overhead Cam (SOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
2353509,20a7fe9f0478d51404e666d302483d7f9ae3e8f3419382eb8dcf5b38d35c386f,,2020-02-05,2020-02-21,0,0,0,False,,,FORD,F-250,39069,,,,,,,,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,Regular,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,6700.0,408.8590854347,6.7,,4WD/4-Wheel Drive/4x4,,,,,,,V-Shaped,,8.0,400.0,,298.28,Ford,,,,,Diesel,,,,Class 2H: 9001 - 10000 lb (4082 - 4536 kg),,,,,,FORD,460,FORD MOTOR COMPANY USA,976.0,F-250,1805.0,2011.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,JEFFERSON COUNTY,Kentucky Truck,UNITED STATES (USA),KENTUCKY,,,,,,,Manual,,,,Super Duty - Single Rear Wheel ,,,,,,,,Not Applicable,,Not Applicable,,,,,,20a7fe9f0478d51404e666d302483d7f9ae3e8f3419382eb8dcf5b38d35c386f,,TRUCK ,,,,,,,
1838563,e0d49e012ea0fbe9a9f294a127e4d65066f7fcbf2699c29356da8262170ff09f,C181383B,2019-04-07,2019-04-08,0,0,165086,False,Dark Silver Metallic,Ebony,CHEVROLET,Monte Carlo,7871,,,,,,,,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Coupe,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3500.0,213.58310433156,3.5,2.0,,,,,,,,V-Shaped,,6.0,,,,GM,LZE,,,Sequential Fuel Injection (SFI),Flexible Fuel Vehicle (FFV),,,,,,,,,,CHEVROLET,467,GENERAL MOTORS LLC,984.0,Monte Carlo,4773.0,2006.0,Not Applicable,Not Applicable,,,,,,,,,,V6 SFI (Flex Fuel),,Has Occupant Sensor,,,,OSHAWA #1 (OSH),GMNA,CANADA,ONTARIO,,,,,,,Manual,,,,LT 3.5 Coupe,,,,,,,,Not Applicable,,Not Applicable,,,,,,e0d49e012ea0fbe9a9f294a127e4d65066f7fcbf2699c29356da8262170ff09f,Overhead Valve (OHV),PASSENGER CAR,,,,,,,
2945392,8340015befa4ff6e33c034367dd8bbc962ed78fe6877493a2e0d62393d4c36a1,U1852A,2016-12-20,2019-03-29,16080,16080,0,False,Black,dark slate gray,DODGE,Challenger,22394,,,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Coupe,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,3600.0,219.68547874103,3.6,2.0,RWD/ Rear Wheel Drive,,,,,,,,,6.0,283.0,,211.0331,Chrysler,,,,,Flexible Fuel Vehicle (FFV),,,,,,,,,,DODGE,476,FCA CANADA INC.,995.0,Challenger,1893.0,2012.0,Not Applicable,Not Applicable,,,,,,,,,,Gas/Flex Fuel(50-St.),,Active Seat Belt at all Seating Position Frontal airbag at outboard seating position,,,,,Brampton Assembly,,,,,,,,,Manual,,,,LC,,Left Hand Drive (LHD),,Direct,,,,Not Applicable,,Not Applicable,,,Base,,No,8340015befa4ff6e33c034367dd8bbc962ed78fe6877493a2e0d62393d4c36a1,,PASSENGER CAR,,,,,,,
2966185,041946cab02221c9479bb30a2693483620dfd82397dfaa3346f2c5919beba42c,FT11950A,2018-05-02,2018-06-07,0,0,0,False,Oxford White,Black,FORD,F-250,14935,Standard,Lane Departure Warning: Optional for XLT and Platinum trim; Forward Collision Warning: Optional for Lariat and Platinum trims; Blind Spot Detection: Optional for XL XLT and Lariat trims Standard for Platinum trim; Adaptive Driving Beam: Optional for XLT and Lariat trims Standard for Platinum trim; Adaptive Cruise Control: Optional for Lariat and Platinum trims; Keyless Ignition: Optional for Lariat trim Standard for Platinum trim,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,Standard,,,2.0,39135.0,,,,,,,,,,,,,,,Crew/ Super Crew/ Crew Max,Pickup,,Hydraulic,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,6200.0,378.34721338734,6.2,,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,V-Shaped,,8.0,383.0,,285.6031,Ford,,,,,Gasoline,,,,Class 2H: 9001 - 10000 lb (4082 - 4536 kg),,,,,,FORD,460,FORD MOTOR COMPANY USA,976.0,F-250,1805.0,2017.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,JEFFERSON COUNTY,Kentucky Truck,UNITED STATES (USA),KENTUCKY,,,,Standard,,,Manual,2.0,,Standard,Super Duty - Single Rear Wheel ,,Left Hand Drive (LHD),,,110.0,,Standard,Not Applicable,,Not Applicable,,,,,,041946cab02221c9479bb30a2693483620dfd82397dfaa3346f2c5919beba42c,,TRUCK ,,,,,,4.0,
3864138,5621c10fb2d93a50b4896b5d19b600e6c02c0a0d55f69458a0898a3d013d2fac,204163,2019-12-04,2019-12-07,171815,171815,0,True,Graphite Grey Metallic,Black,MERCEDES-BENZ,AMG GT,7110,,,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,,,,,,,,,,,,,,,,,,Not Applicable,,Not Applicable,Coupe,,,Not Applicable,,Not Applicable,,,,,,Water,,Not Applicable,,,3000.0,183.0712322841,3.0,2.0,,,,,,,,V-Shaped,4.0,8.0,577.0,,430.2689,Daimler,M177,,,,Gasoline,,,,,,,,,,MERCEDES-BENZ,449,MERCEDES-BENZ CARS,1042.0,AMG GT,5881.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,DIRECT FUEL INJECTION L-9 TC,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,,SINDELFINGEN,,GERMANY,,,Yes,,,,,Manual,,,,AMG GT63,,,,Direct,,,,Not Applicable,,Not Applicable,7.0,Automated Manual Transmission (AMT),,,Yes,5621c10fb2d93a50b4896b5d19b600e6c02c0a0d55f69458a0898a3d013d2fac,Dual Overhead Cam (DOHC),PASSENGER CAR,,,,,,,
2143124,e44ad893eb914b4d9cc7d4cbf15d34c0e03093f49cf570f9861af11700c132b0,,2019-08-07,2019-09-14,37200,35450,0,True,,,HYUNDAI,Santa Fe,9496,Standard,,Standard,Standard,,,1st & 2nd Rows,1st Row (Driver & Passenger),,,1st Row (Driver & Passenger),Standard,,,2.0,33900.0,,,,,,,,,,,,,,Standard,,Wagon,,,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,2400.0,146.45698582735,2.4,4.0,4x2,,Standard,,Standard,,,,,4.0,185.0,,137.9545,HMC, GDI THETA II,,Standard,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,Standard,Standard,Standard,,HYUNDAI,498,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),1034.0,Santa Fe,2057.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,Standard,,,UNITED STATES (USA),ALABAMA,,,,Standard,,,Manual,2.0,,Standard,Limited,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,,Automatic,,,,e44ad893eb914b4d9cc7d4cbf15d34c0e03093f49cf570f9861af11700c132b0,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,108.9,,,,4.0,
2107981,27defea4e362a078c076f7ff9f767eb90069c75501662028a087b2c75cd00904,89060,2019-02-26,2019-03-26,22973,22973,27020,False,Jasmine Green,gray,SUBARU,Forester,10511,,,,,,,1st & 2nd Rows,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),,,,,,,,,,,,,,,,,,,,,,Wagon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2500.0,152.55936023683,2.5,,AWD/All Wheel Drive,,,,,,,,,,,,,,Naturally Aspirated U5,,,,Gasoline,,,,Class 1C: 4001 - 5000 lb (1814 - 2268 kg),,,,,,SUBARU,523,FUJI HEAVY INDUSTRIES U.S.A. INC. (C/O SUBARU OF AMERICA),1075.0,Forester,2234.0,2016.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,OTA,Yajima Plant,JAPAN,GUNMA,,,,,,,Manual,,,,,,,,Direct,,,,Not Applicable,,Not Applicable,,Continuously Variable Transmission (CVT),Limited + MR,,,27defea4e362a078c076f7ff9f767eb90069c75501662028a087b2c75cd00904,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
605044,9fd85eda09d234751a71db8d7016625c5d657e5c156b584529b1d01c16cc7fc5,K20122,2019-12-11,2020-01-08,27250,27250,0,True,Gravity Gray,Black,KIA,Optima,37755,Standard,Keyless Ignition: Standard for S,Optional,,,,1st & 2nd Rows,1st Row (Driver & Passenger),Driver Seat Only,,1st Row (Driver & Passenger),Standard,,,2.0,22990.0,,,,,,,,,,,,,Not Applicable,Standard,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,2400.0,146.45698582735,2.4,4.0,FWD/Front Wheel Drive,,Standard,,Standard,,,,,4.0,185.0,,137.9545,KMC, GDI,,Standard,,Gasoline,,,,,,,Standard,Standard,,KIA,499,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),1034.0,Optima,2739.0,2020.0,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,UNITED STATES (USA),GEORGIA,,,,Standard,,,Manual,2.0,5.0,Standard,LX S,,Left Hand Drive (LHD),,Direct,,,Standard,Not Applicable,,Not Applicable,6.0,Automatic,,,,9fd85eda09d234751a71db8d7016625c5d657e5c156b584529b1d01c16cc7fc5,Dual Overhead Cam (DOHC),PASSENGER CAR,,110.4,,,,4.0,
2715189,16dfe02c53e136eb52ca6ed5e6e0e4b0f7f0353865e1ea34c60140ac88a1296e,D7715,2019-05-26,2019-06-21,0,0,0,True, Contusion Blue Pearl-Coat Exterior Color,,DODGE,Journey,22213,,,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,,,,,,,,,,,,,,,,,,Hatchback/Liftback/Notchback,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2400.0,146.45698582735,2.4,,FWD/Front Wheel Drive,,,,,,,In-Line,,4.0,173.0,,129.0061,FCA,,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,DODGE,476,CHRYSLER DE MEXICO TOLUCA,1002.0,Journey,1939.0,2019.0,Not Applicable,Not Applicable,,,,,,,,Body: Hatchback Tall,,,,,,,,TOLUCA,TOLUCA NORTH ASSEMBLY,MEXICO,MEXICO,,,,,,,Manual,,,,SE (CMB),,Left Hand Drive (LHD),,Direct,,,,Not Applicable,,Not Applicable,,,JC,,,16dfe02c53e136eb52ca6ed5e6e0e4b0f7f0353865e1ea34c60140ac88a1296e,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
3733629,6954f7835d420af682faa853f6132c0cd57c0a3f8e23034342050d9ea5cd3194,H1080394,2020-04-14,2020-05-05,24997,24997,16285,False,Monsoon gray metallic,Black,AUDI,A3,32027,Standard,Parking System Plus w/ Front and Rear Acoustic Sensors: Standard; Audi Pre Sense Basic; Hill Start Assist,,,,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st Row (Driver & Passenger),,1st Row (Driver & Passenger),Standard,,,2.0,,,,,,,,,,,,,,Not Applicable,Optional,Not Applicable,Sedan/Saloon,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,2000.0,122.0474881894,2.0,4.0,,,Standard,,Standard,,,,,4.0,220.0,,164.054,Audi,,,Standard,,Gasoline,,,,,,Standard,,,,AUDI,582,AUDI,1149.0,A3,3676.0,2017.0,Not Applicable,Not Applicable,,,,,,,,,,Fuel:GASOLINE(50-st) Emission Certification Test group:HVGAV02.0APA Federal/California Emission standard:IntT3 Bin 30/ SULEV II PZEV II,,Advanced Front Airbags,,,,GYOR,,HUNGARY,,,,,Standard,,,Manual,2.0,5.0,Standard,A3 Quattro Premium Plus,,Left Hand Drive (LHD),,Indirect,130.0,,Standard,Not Applicable,,Not Applicable,,Automatic,,,,6954f7835d420af682faa853f6132c0cd57c0a3f8e23034342050d9ea5cd3194,,PASSENGER CAR,,103.8,,18.0,18.0,4.0,
5185406,c1b8df21c47e40f57baf1e78b31eb3017602e1fd37b3febcd428d9d2f5c36c7f,,2020-01-11,2020-02-20,15970,15970,0,False,,,FORD,F-150,39526,,,,,,,,1st Row (Driver & Passenger),,,1st & 2nd Rows,,,,,,,,,,,,,,,,,,,,Crew/ Super Crew/ Crew Max,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5000.0,305.11872047366,5.0,,4WD/4-Wheel Drive/4x4,,,,,,,V-Shaped,,8.0,360.0,,268.452,Ford,,,,,Gasoline,,,,Class 2F: 7001 - 8000 lb (3175 - 3629 kg),,,,,,FORD,460,FORD MOTOR COMPANY USA,976.0,F-150,1801.0,2011.0,Not Applicable,Not Applicable,,,,,,,,,,4V,,,,,,DEARBORN,,UNITED STATES (USA),MICHIGAN,,,,,,,Manual,,,,,,,,,,,,Not Applicable,,Not Applicable,,,,,,c1b8df21c47e40f57baf1e78b31eb3017602e1fd37b3febcd428d9d2f5c36c7f,,TRUCK ,,,,,,,
3376391,6a6cd52470c8d0268b4609e0e9574553fe704d890c129ad4b1bd97c353d4983c,,2019-12-12,2019-12-30,54725,48052,0,True,,,RAM,1500,34794,Standard,,,,,,,1st Row (Driver & Passenger),,,All Rows,Standard,,,2.0,,,,,,,,,,,,,,Short,,Crew/ Super Crew/ Crew Max,Pickup,,Hydraulic,Not Applicable,,Not Applicable,Standard,,,,,,,Not Applicable,Standard,,5700.0,347.83534133997,5.7,,4WD/4-Wheel Drive/4x4,,Standard,,Standard,,,V-Shaped,,8.0,395.0,,294.5515,FCA,,,,,Gasoline,,,,Class 2F: 7001 - 8000 lb (3175 - 3629 kg),,,,,,RAM,496,FCA US LLC,994.0,1500,13620.0,2020.0,Not Applicable,Not Applicable,,,,,,,,Single Rear Wheels,,,,,,,,STERLING HEIGHTS,STERLING HEIGHTS ASSEMBLY PLANT,UNITED STATES (USA),MICHIGAN,,,,Standard,,,Manual,2.0,5.0,Standard,Big Horn/Lonestar,,Left Hand Drive (LHD),,Indirect,,,Standard,Not Applicable,,Not Applicable,8.0,Automatic,DT,,,6a6cd52470c8d0268b4609e0e9574553fe704d890c129ad4b1bd97c353d4983c,,TRUCK ,,,,,,4.0,
123102,171bcfe5f6eff9ddaaf14e0ee2faee7f2635ad2fd52b87ce355115e0de253466,,2018-09-09,2018-09-11,4995,4995,0,False,,,DODGE,Journey,4300,,,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,,,,,,,,,,,,,,,,,,Hatchback/Liftback/Notchback,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,U.S. Canada Mexico Other Export Market (BUX),3500.0,213.58310433156,3.5,4.0,FWD/Front Wheel Drive,,,,,,,,,6.0,,,,,,,,,Gasoline,,,,Class 1D: 5001 - 6000 lb (2268 - 2722 kg),,,,,,DODGE,476,CHRYSLER DE MEXICO TOLUCA,1002.0,Journey,1939.0,2010.0,Not Applicable,Not Applicable,,,,,,,,Hatchback Tall,,Sales Code for Engine - EGFEGG,,,,,,,Toluca Assembly,,,,Yes,,,,,Manual,,,,JC,P (Premium),,,Direct,,,,Not Applicable,,Not Applicable,,,SXT,,No,171bcfe5f6eff9ddaaf14e0ee2faee7f2635ad2fd52b87ce355115e0de253466,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
1568426,5004c8912ef2f0127d37f3ccaa4ed8f37d230fd5937589d40f53691f5da9bc30,P7208,2020-03-05,2020-04-03,22500,19987,58130,False,Granite Crystal,Diesel Gray/Black,RAM,1500,16888,,,,,,,,1st Row (Driver & Passenger),,,All Rows,,,,,,,,,,,,,,,,,,,,Extra/Super/ Quad/Double/King/Extended,Pickup,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5700.0,347.83534133997,5.7,,4WD/4-Wheel Drive/4x4,,,,,,,,,8.0,,,,,,,,,Gasoline,,,,Class 2E: 6001 - 7000 lb (2722 - 3175 kg),,,,,,RAM,496,FCA US LLC,994.0,1500,13620.0,2015.0,Not Applicable,Not Applicable,,,,,,,,Drive Type: Single Rear Wheels,,Sales Code: EZCEZH,,Active Seat Belt,,,,WARREN ,Warren Truck Assembly,UNITED STATES (USA),MICHIGAN,,,,,,,Manual,,,,,,Left Hand Drive (LHD),,,,,,Not Applicable,,Not Applicable,,,ST,,No,5004c8912ef2f0127d37f3ccaa4ed8f37d230fd5937589d40f53691f5da9bc30,,TRUCK ,,,,,,,
